Ticker,Preço,Market Cap,FCO,Adjusted FCO,Capex,Capex (Raw),Depreciação,Ajuste Expansão,Juros,Impostos,Arrendamentos,FCF,FCF Yield,Rev Growth 5Y,Setor,Status
AMD,274.95,448281477120,7709000000.0,7709000000.0,-974000000.0,-974000000.0,3004000000.0,False,131000000.0,103000000.0,625000000.0,5876000000.0,0.013107835812781217,0.13643599335368428,Technology,🔴 Caro
AVGO,399.63,1894755205120,27537000000.0,27537000000.0,-623000000.0,-623000000.0,8775000000.0,False,3210000000.0,397000000.0,39000000.0,23268000000.0,0.012280214318517401,0.24378426000041764,Technology,🔴 Caro
ISRG,465.6,165367005184,3030500000.0,3030500000.0,-539800000.0,-539800000.0,677100000.0,False,0.0,434800000.0,87000000.0,1968900000.0,0.011906244524469988,0.17386716793068868,Healthcare,🔴 Caro
MPC,214.12,63109763072,8253000000.0,8253000000.0,-3486000000.0,-3486000000.0,3251000000.0,False,1412000000.0,1137000000.0,1482000000.0,736000000.0,0.011662220933396947,-0.09232974945771899,Energy,🔴 Caro
EMR,146.77,82529075200,3098000000.0,3098000000.0,-431000000.0,-431000000.0,1518000000.0,False,387000000.0,696000000.0,643000000.0,941000000.0,0.011402042222326998,0.09282630664203761,Industrials,🔴 Caro
CAT,798.4,373634924544,11739000000.0,11739000000.0,-4286000000.0,-4286000000.0,2262000000.0,False,502000000.0,2768000000.0,6000000.0,4177000000.0,0.011179361793059867,0.0438323160905727,Industrials,🔴 Caro
ALPA4.SA,12.73,8632267776,612229000.0,612229000.0,-221599000.0,-221599000.0,260534000.0,False,120637000.0,10306000.0,163418000.0,96269000.0,0.011152225869041438,0.029641947460103957,Consumer Cyclical,🔴 Caro
TOTS3.SA,34.87,20394571776,1203183000.0,1203183000.0,-257628000.0,-257628000.0,341084000.0,False,261972000.0,200256000.0,258933000.0,224394000.0,0.011002633566646552,0.1502186881015266,Technology,🔴 Caro
SBSP3.SA,176.04,126778425344,8361115000.0,8361115000.0,-100728000.0,-100728000.0,2208762000.0,False,3456991000.0,3239792000.0,276495000.0,1287109000.0,0.010152429299445582,0.19978759875104757,Utilities,🔴 Caro
MSFT,418.07,3107254173696,136162000000.0,136162000000.0,-64551000000.0,-64551000000.0,34153000000.0,False,2385000000.0,21795000000.0,17437000000.0,29994000000.0,0.00965289555450911,0.12423114652863054,Technology,🔴 Caro
GE,303.6,320241500160,8537000000.0,8537000000.0,-1273000000.0,-1273000000.0,1220000000.0,False,843000000.0,1405000000.0,1973000000.0,3043000000.0,0.009502203800817968,0.1631543559703441,Industrials,🔴 Caro
RTX,195.79,263528300544,10567000000.0,10567000000.0,-3119000000.0,-3119000000.0,4378000000.0,False,1835000000.0,1664000000.0,1602000000.0,2347000000.0,0.008906064339788558,0.09723101071987417,Industrials,🔴 Caro
AMAT,391.62,310793502720,7958000000.0,7958000000.0,-2260000000.0,-2260000000.0,435000000.0,False,269000000.0,2273000000.0,495000000.0,2661000000.0,0.008561955049611663,0.032334704568867556,Technology,🔴 Caro
XOM,147.68,613840650240,51970000000.0,51970000000.0,-28358000000.0,-28358000000.0,25993000000.0,False,603000000.0,11504000000.0,6313000000.0,5192000000.0,0.008458221197911913,-0.06688991546295975,Energy,🔴 Caro
GOOGL,337.42,4081770037248,164713000000.0,164713000000.0,-91447000000.0,-91447000000.0,21136000000.0,False,736000000.0,26656000000.0,12744000000.0,33130000000.0,0.008116576803120643,0.12511745609215974,Communication Services,🔴 Caro
UNP,252.18,149713780736,9290000000.0,9290000000.0,-3791000000.0,-3791000000.0,2465000000.0,False,1309000000.0,2028000000.0,1008000000.0,1154000000.0,0.007708041265986882,-0.004915242301498868,Industrials,🔴 Caro
PSX,155.75,62453039104,4962000000.0,4962000000.0,-2233000000.0,-2233000000.0,3251000000.0,False,1086000000.0,892000000.0,290000000.0,461000000.0,0.007381546304453162,-0.0799841840778086,Energy,🔴 Caro
BMOB3.SA,27.56,2339194880,117610000.0,117610000.0,-56611000.0,-56611000.0,69403000.0,False,1268000.0,37192000.0,5485000.0,17054000.0,0.00729054263319865,0.04752684730692991,Communication Services,🔴 Caro
CMIG4.SA,13.73,43311988736,4077000000.0,4077000000.0,-1078000000.0,-1078000000.0,1533000000.0,False,1503000000.0,771000000.0,417000000.0,308000000.0,0.007111195052191104,0.10361338553826949,Utilities,🔴 Caro
LIN,498.15,230839795712,10350000000.0,10350000000.0,-5261000000.0,-5261000000.0,3763000000.0,False,464000000.0,1989000000.0,1080000000.0,1556000000.0,0.0067406055147496945,0.006176060609136114,Basic Materials,🔴 Caro
WEGE3.SA,48.48,203413831680,6451033000.0,6451033000.0,-2691321000.0,-2691321000.0,1001296000.0,False,179358000.0,1371719000.0,847153000.0,1361482000.0,0.006693163334840535,0.10914428739363924,Industrials,🔴 Caro
COST,997.84,442910670848,13335000000.0,13335000000.0,-5498000000.0,-5498000000.0,2426000000.0,False,154000000.0,2719000000.0,2460000000.0,2504000000.0,0.005653510210548379,0.06640442726947482,Consumer Defensive,🔴 Caro
NSC,304.13,68299091968,4361000000.0,4361000000.0,-2204000000.0,-2204000000.0,1393000000.0,False,792000000.0,792000000.0,218000000.0,355000000.0,0.005197726496368755,-0.015000939727698559,Industrials,🔴 Caro
DIRR3.SA,14.9,7753227264,398423000.0,398423000.0,-79333000.0,-79333000.0,80743000.0,False,94439000.0,98803000.0,88976000.0,36872000.0,0.004755697046468004,0.26164471424793234,Real Estate,🔴 Caro
TXN,233.7,212775288832,7153000000.0,7153000000.0,-4550000000.0,-4550000000.0,1999000000.0,False,543000000.0,709000000.0,344000000.0,1007000000.0,0.004732692435892273,-0.040677564911326236,Technology,🔴 Caro
COP,116.45,142341390336,19796000000.0,19796000000.0,-12553000000.0,-12553000000.0,11681000000.0,False,1233000000.0,4668000000.0,801000000.0,541000000.0,0.0038007216223120872,-0.09106174739359629,Energy,🔴 Caro
KO,75.48,324877484032,7408000000.0,7408000000.0,-2112000000.0,-2112000000.0,1050000000.0,False,1654000000.0,2861000000.0,0.0,781000000.0,0.0024039831579189173,0.03689014114187783,Consumer Defensive,🔴 Caro
FESA4.SA,8.19,3277427456,403186000.0,403186000.0,-300116000.0,-300116000.0,202201000.0,False,38367000.0,15916000.0,47421000.0,1366000.0,0.0004167903083557984,-0.09399499445480808,Basic Materials,🔴 Caro
LLY,919.9,823327784960,16813000000.0,16813000000.0,-10849000000.0,-10849000000.0,1997000000.0,False,780600000.0,5091000000.0,0.0,92400000.0,0.00011222747693919877,0.31687374880620434,Healthcare,🔴 Caro
